case_id,era,total_processing_time_hrs,n_stages_touched,n_events,had_exception,had_rework,had_sla_breach,requested_amount,risk_flag
c12_188825,pre_2012,350.22234722222225,4,32,1,1,1,6000,1
c17_Application_855923572,post_2017,191.43177722222222,4,12,0,0,0,25000.0,0
c12_187334,pre_2012,0.00013638888888888888,2,3,1,0,0,10000,1
c17_Application_1767149478,post_2017,470.78538555555554,4,17,1,1,1,20000.0,1
c12_187304,pre_2012,435.5780227777778,4,26,0,1,0,25000,0
c17_Application_1221068437,post_2017,139.32014416666667,4,12,0,0,0,25000.0,0
c17_Application_1800969554,post_2017,259.8405619444444,4,12,0,0,0,10000.0,0
c12_176185,pre_2012,473.7299291666667,4,22,1,1,0,37000,1
c17_Application_554735160,post_2017,311.12046694444444,4,12,0,0,0,20000.0,0
c12_196506,pre_2012,442.39292527777775,4,28,0,1,0,7500,0
c12_196458,pre_2012,442.8753672222222,4,26,0,1,0,5000,0
c17_Application_603167283,post_2017,217.315,4,12,0,0,0,15000.0,0
c17_Application_111244812,post_2017,233.36547222222222,4,12,0,0,0,0.0,0
c17_Application_703869260,post_2017,20.024265,4,9,1,0,0,15000.0,1
c12_211299,pre_2012,110.73130944444443,1,27,0,1,0,7000,0
c17_Application_269993344,post_2017,341.68407916666666,4,12,0,0,0,5000.0,0
c17_Application_901633533,post_2017,208.71715388888887,4,12,0,0,0,0.0,0
c12_199519,pre_2012,395.95157694444447,4,26,0,1,0,26000,0
c17_Application_520700002,post_2017,216.31881666666666,4,12,0,0,0,0.0,0
c17_Application_1815342522,post_2017,313.5327866666667,4,12,0,0,0,8000.0,0
c17_Application_776906675,post_2017,862.0720477777778,4,14,1,1,1,20000.0,1
c17_Application_295533034,post_2017,238.83676888888888,4,12,0,0,0,7500.0,0
c17_Application_662107856,post_2017,334.9173480555555,4,12,0,0,0,26000.0,0
c17_Application_1818234276,post_2017,77.48254027777777,4,18,1,1,1,5000.0,1
c17_Application_766473476,post_2017,21.68539416666667,4,12,1,1,1,20000.0,1
c12_185506,pre_2012,338.97846888888887,4,28,0,1,0,25000,0
c17_Application_1038569473,post_2017,1.3293219444444444,4,12,0,0,0,0.0,0
c17_Application_438379970,post_2017,527.948368611111,4,24,1,1,1,5000.0,1
c12_193348,pre_2012,732.9952675,2,18,1,1,1,25000,1
c12_180622,pre_2012,554.2261194444445,4,36,0,1,1,13500,1
c12_196299,pre_2012,0.0023022222222222224,2,3,1,0,0,6000,1
c17_Application_627871717,post_2017,344.3671677777778,4,13,0,0,0,60000.0,0
c17_Application_672639635,post_2017,51.27965277777778,4,12,0,0,0,15000.0,0
c12_204155,pre_2012,1145.7196955555555,4,44,1,1,1,40000,1
c17_Application_575581585,post_2017,718.4456163888889,4,15,1,1,1,10000.0,1
c17_Application_1157012064,post_2017,99.69511999999999,4,12,0,0,0,25000.0,0
c17_Application_1427149723,post_2017,21.65208416666667,4,9,1,0,0,10000.0,1
c17_Application_1437733107,post_2017,537.7843461111112,4,22,1,1,1,19000.0,1
c12_177188,pre_2012,261.45049777777774,4,24,1,1,1,8000,1
c17_Application_1906307438,post_2017,337.3650841666667,4,14,1,0,0,15000.0,1
c17_Application_69508445,post_2017,337.87174944444445,4,12,0,0,0,30000.0,0
c17_Application_714861923,post_2017,39.19327638888888,4,9,1,0,1,15000.0,1
c17_Application_1580050868,post_2017,217.56717527777778,4,12,0,0,0,30000.0,0
c12_203681,pre_2012,2.6666666666666667e-05,2,3,1,0,0,3000,1
c12_201015,pre_2012,1245.636281111111,4,57,1,1,1,16000,1
c17_Application_1836857131,post_2017,190.10122944444444,4,12,0,0,0,10000.0,0
c17_Application_852448913,post_2017,788.4215547222223,4,16,1,1,1,6000.0,1
c12_193962,pre_2012,291.27850805555556,4,28,0,1,0,12000,0
c12_199080,pre_2012,17.28289138888889,2,6,1,1,0,5000,1
c12_212611,pre_2012,165.8186163888889,3,22,0,1,0,10000,0
c17_Application_1938026907,post_2017,34.208640555555554,4,9,1,0,0,10000.0,1
c12_209344,pre_2012,0.38960666666666666,2,10,1,1,0,2500,1
c17_Application_786345678,post_2017,220.21410944444446,4,12,0,0,0,5000.0,0
c12_192927,pre_2012,400.430395,4,28,0,1,0,6000,0
c17_Application_721338074,post_2017,255.28099583333335,4,12,0,0,0,10000.0,0
c17_Application_53705750,post_2017,242.12910833333333,4,14,1,0,0,18300.0,1
c17_Application_767700255,post_2017,805.9016688888889,4,20,1,1,1,30000.0,1
c17_Application_376472202,post_2017,2.414124722222222,4,9,1,0,0,15000.0,1
c12_174773,pre_2012,478.6103405555555,4,30,0,1,0,5000,0
c17_Application_1682699832,post_2017,310.34065972222226,4,12,0,0,0,10000.0,0
c17_Application_467208365,post_2017,219.7031763888889,4,12,0,0,0,0.0,0
c12_195800,pre_2012,316.4208311111111,4,24,0,1,0,7500,0
c17_Application_1219727526,post_2017,189.45195166666667,4,12,0,0,0,30000.0,0
c17_Application_2051660661,post_2017,308.2077391666666,4,12,0,0,0,40000.0,0
c17_Application_2026841022,post_2017,691.3383569444445,4,15,1,0,1,10000.0,1
c17_Application_1768009192,post_2017,326.36512138888884,4,12,0,0,0,5000.0,0
c17_Application_551514124,post_2017,330.8688538888889,4,12,0,0,0,15000.0,0
c17_Application_557656772,post_2017,0.0824525,4,9,1,0,0,0.0,1
c12_177974,pre_2012,777.2129041666666,4,48,1,1,1,8000,1
c17_Application_1705590208,post_2017,332.52771,4,17,1,1,0,5000.0,1
c17_Application_957513157,post_2017,192.65200194444446,4,12,0,0,0,26500.0,0
c12_194308,pre_2012,7.027777777777778e-05,2,3,1,0,0,22500,1
c17_Application_1656792289,post_2017,257.65771777777775,4,12,0,0,0,75000.0,0
c17_Application_1046650299,post_2017,363.21052861111116,4,12,0,0,0,25000.0,0
c17_Application_1024774116,post_2017,41.39099833333333,4,10,1,0,0,5000.0,1
c17_Application_1041619039,post_2017,363.1870638888889,4,12,0,0,0,15000.0,0
c17_Application_1058390155,post_2017,1380.8264461111112,4,17,1,1,1,10000.0,1
c12_193174,pre_2012,379.5299605555556,4,34,0,1,0,8500,0
c17_Application_1577651263,post_2017,323.8174802777778,4,12,0,0,0,5000.0,0
c17_Application_1334425086,post_2017,885.1086794444445,4,14,1,0,1,16000.0,1
c17_Application_1063717116,post_2017,0.11808,4,9,1,0,0,20000.0,1
c12_189007,pre_2012,0.48084583333333336,2,6,1,1,0,10000,1
c17_Application_1346402324,post_2017,289.9775491666667,4,16,1,1,0,18000.0,1
c12_199279,pre_2012,430.9510319444445,4,28,0,1,0,12000,0
c12_207566,pre_2012,0.25146972222222225,2,8,1,1,0,6500,1
c12_200046,pre_2012,6.75e-05,2,3,1,0,0,5500,1
c12_198478,pre_2012,1496.1232027777778,4,32,1,1,1,5000,1
c17_Application_824825338,post_2017,39.051158333333326,4,9,1,0,0,15000.0,1
c17_Application_486887709,post_2017,286.8792438888889,4,12,0,0,0,10000.0,0
c17_Application_1908739238,post_2017,288.1973975,4,12,0,0,0,10000.0,0
c17_Application_507784507,post_2017,40.074663333333326,4,12,1,1,1,15000.0,1
c17_Application_677091115,post_2017,0.16827250000000002,4,9,1,0,1,0.0,1
c17_Application_216896195,post_2017,248.71599555555554,4,12,0,0,0,30000.0,0
c12_202974,pre_2012,69.40943694444445,2,20,1,1,0,60000,1
c17_Application_1503772503,post_2017,496.5780197222222,4,12,1,0,1,0.0,1
c17_Application_652440873,post_2017,184.325175,4,12,0,0,0,10000.0,0
c17_Application_903761516,post_2017,351.3834888888889,4,13,1,0,0,20000.0,1
c12_192674,pre_2012,1545.0613119444445,4,44,1,1,1,10000,1
c12_177305,pre_2012,18.357611666666667,2,6,1,1,0,5000,1
c12_180421,pre_2012,1215.6688422222223,4,39,1,1,1,16000,1
c17_Application_758513444,post_2017,179.97202527777776,4,12,1,0,1,12000.0,1
c17_Application_202034308,post_2017,20.763189722222226,4,12,1,1,1,5000.0,1
c17_Application_1820208307,post_2017,1656.6982472222223,4,16,1,1,1,15000.0,1
c17_Application_185048422,post_2017,317.83243500000003,4,14,1,0,0,17000.0,1
c12_179152,pre_2012,541.387385,4,40,1,1,1,12500,1
c17_Application_1883913820,post_2017,213.53923333333333,4,13,0,0,0,8500.0,0
c12_181357,pre_2012,0.6684158333333333,2,6,1,1,0,5000,1
c17_Application_1073389432,post_2017,311.0218177777778,4,12,0,0,0,15000.0,0
c17_Application_2142077264,post_2017,268.1625980555556,4,12,0,0,0,5000.0,0
c17_Application_1419488876,post_2017,259.3048197222222,4,12,0,0,0,7000.0,0
c12_213855,pre_2012,355.9411386111111,3,41,0,1,0,37500,0
c17_Application_1175565050,post_2017,39.811235,4,12,1,1,1,15000.0,1
c17_Application_61083727,post_2017,260.60082388888884,4,12,0,0,0,5000.0,0
c17_Application_422742047,post_2017,448.8332130555556,4,14,1,0,1,20000.0,1
c17_Application_607556337,post_2017,2083.4788905555556,4,21,1,1,1,8500.0,1
c12_188868,pre_2012,9.828760277777777,2,6,1,1,0,10000,1
c12_187699,pre_2012,0.00010194444444444445,2,3,1,0,0,5000,1
c12_186625,pre_2012,620.8919591666667,4,32,1,1,1,8000,1
c17_Application_1475961626,post_2017,892.3267897222222,4,18,1,1,1,9000.0,1
c12_208499,pre_2012,228.16494749999998,4,22,1,1,0,20000,1
c17_Application_1593129209,post_2017,267.54188194444447,4,12,0,0,0,5000.0,0
c12_185674,pre_2012,865.1570052777777,4,37,1,1,1,15000,1
c17_Application_1692002404,post_2017,1651.4369691666666,4,21,1,1,1,23000.0,1
c17_Application_1526587361,post_2017,1285.8783127777779,4,19,1,1,1,50000.0,1
c17_Application_1865318513,post_2017,288.4666652777778,4,12,0,0,0,18000.0,0
c17_Application_183519926,post_2017,837.73843,4,19,1,1,1,15000.0,1
c17_Application_259612643,post_2017,807.298886388889,4,20,1,1,1,5500.0,1
c17_Application_1214035810,post_2017,279.8527466666667,4,12,0,0,0,25000.0,0
c12_185069,pre_2012,755.2510983333333,4,35,1,1,1,22000,1
c17_Application_460180184,post_2017,765.1488319444445,4,28,1,1,1,22000.0,1
c17_Application_407385655,post_2017,195.49719305555556,4,12,0,0,0,40000.0,0
c17_Application_669216192,post_2017,163.09182583333333,4,12,0,0,0,8000.0,0
c17_Application_268190846,post_2017,216.2816636111111,4,12,0,0,0,57000.0,0
c17_Application_2111055752,post_2017,333.7641663888889,4,12,0,0,0,32500.0,0
c17_Application_547763286,post_2017,341.67002444444444,4,12,0,0,0,0.0,0
c17_Application_17871850,post_2017,306.24938499999996,4,12,0,0,0,0.0,0
c17_Application_2143744897,post_2017,96.62196277777778,4,12,0,0,0,7500.0,0
c17_Application_33533430,post_2017,20.849644722222223,4,9,1,0,0,39000.0,1
c17_Application_54944838,post_2017,45.86783888888889,4,9,1,0,1,20000.0,1
c12_181885,pre_2012,877.1684213888889,4,35,1,1,1,18000,1
c17_Application_1015357327,post_2017,324.8876152777778,4,12,0,0,0,8000.0,0
c17_Application_1257391369,post_2017,265.2464086111111,4,12,0,0,0,5000.0,0
c17_Application_1743529964,post_2017,974.5550908333333,4,20,1,1,1,13500.0,1
c12_210743,pre_2012,27.593188611111113,2,6,1,1,0,9000,1
c17_Application_2115815413,post_2017,221.76407916666668,4,12,0,0,0,5000.0,0
c17_Application_1985519013,post_2017,60.51528388888889,4,9,1,0,1,5000.0,1
c12_176311,pre_2012,3.972222222222222e-05,2,3,1,0,0,4000,1
c17_Application_816636748,post_2017,275.4761286111111,4,16,1,1,1,10000.0,1
c17_Application_124124711,post_2017,585.3279355555555,4,20,1,1,1,15000.0,1
c17_Application_1022532415,post_2017,312.0485625,4,12,0,0,0,27000.0,0
c17_Application_1624295834,post_2017,224.9531263888889,4,16,1,1,1,8000.0,1
c17_Application_1463630637,post_2017,261.46403888888887,4,12,0,0,0,0.0,0
c17_Application_531070131,post_2017,174.42041249999997,4,12,0,0,0,7000.0,0
c12_202173,pre_2012,15.02729361111111,2,10,1,1,0,15000,1
c17_Application_1394660187,post_2017,307.69437805555555,4,12,0,0,0,12000.0,0
c12_206621,pre_2012,483.1375994444444,4,22,1,1,1,6000,1
c12_210203,pre_2012,161.73968722222222,1,24,0,1,0,9000,0
c17_Application_709251515,post_2017,168.24325138888886,4,12,0,0,0,25000.0,0
c17_Application_1452620578,post_2017,161.1297397222222,4,12,0,0,0,15000.0,0
c12_198867,pre_2012,339.67320805555556,4,38,0,1,0,5000,0
c17_Application_329375107,post_2017,263.37951472222227,4,12,0,0,0,33250.0,0
c17_Application_654369885,post_2017,485.9737061111111,4,16,1,1,0,0.0,1
c17_Application_1645963200,post_2017,173.73120083333333,4,12,0,0,0,7000.0,0
c17_Application_159115592,post_2017,259.5159855555556,4,12,0,0,0,10000.0,0
c17_Application_1723786816,post_2017,0.2420469444444444,4,9,1,0,0,5000.0,1
c17_Application_948906324,post_2017,186.10186694444445,4,12,0,0,0,5000.0,0
c17_Application_272280744,post_2017,143.33930166666667,4,12,0,0,0,17000.0,0
c12_193249,pre_2012,0.00017611111111111112,2,3,1,0,0,10000,1
c12_202854,pre_2012,457.3735361111111,4,24,0,1,0,5000,0
c17_Application_1139587159,post_2017,327.4599680555556,4,12,0,0,0,10500.0,0
c17_Application_1630970905,post_2017,202.93269944444444,4,12,0,0,0,10000.0,0
c12_206300,pre_2012,617.4923502777777,4,50,1,1,1,25000,1
c17_Application_285907468,post_2017,266.41994666666665,4,12,0,0,0,15000.0,0
c17_Application_1247833579,post_2017,280.2895011111111,4,12,0,0,0,5000.0,0
c12_213261,pre_2012,287.6920772222222,4,24,0,1,0,15000,0
c17_Application_172981091,post_2017,241.5882083333333,4,12,0,0,0,18200.0,0
c17_Application_464957199,post_2017,630.8288541666666,4,19,1,1,1,50000.0,1
c12_187675,pre_2012,7.63888888888889e-05,2,3,1,0,0,2000,1
c17_Application_1817634000,post_2017,401.6638341666666,4,16,1,1,0,38000.0,1
c17_Application_1775117227,post_2017,189.01349527777776,4,12,0,0,0,10000.0,0
c17_Application_851840391,post_2017,139.77654111111113,4,12,0,0,0,40000.0,0
c17_Application_988915517,post_2017,1.7233044444444445,4,9,1,0,1,30000.0,1
c17_Application_477611889,post_2017,190.27468972222223,4,12,0,0,0,20000.0,0
c17_Application_681961933,post_2017,199.39705666666666,4,12,0,0,0,0.0,0
c17_Application_261020841,post_2017,244.1004147222222,4,12,0,0,0,0.0,0
c17_Application_1570092273,post_2017,300.084435,4,12,0,0,0,15000.0,0
c12_182626,pre_2012,407.8608525,4,26,0,1,0,5000,0
c17_Application_1320984331,post_2017,240.23834583333334,4,12,0,0,0,0.0,0
c17_Application_407461155,post_2017,827.5557694444444,4,19,1,1,1,5000.0,1
c12_202485,pre_2012,459.9344025,4,32,0,1,0,18500,0
c17_Application_1093060585,post_2017,182.64400638888887,4,12,0,0,0,10000.0,0
c17_Application_1959891562,post_2017,856.3214041666666,4,24,1,1,1,15000.0,1
c12_203886,pre_2012,430.21332138888886,4,22,0,1,0,16000,0
c17_Application_295911477,post_2017,527.5288702777777,4,21,1,1,0,12500.0,1
c17_Application_197347356,post_2017,188.00914999999998,4,12,0,0,0,12000.0,0
c12_212596,pre_2012,0.40636527777777776,2,8,1,1,0,20000,1
c17_Application_318018580,post_2017,472.0053438888889,4,16,1,1,1,26500.0,1
c17_Application_864148389,post_2017,6.692153055555555,4,12,1,1,0,5000.0,1
c17_Application_1303088153,post_2017,158.510115,4,12,0,0,0,10000.0,0
c17_Application_81354277,post_2017,262.14691999999997,4,12,0,0,0,17500.0,0
c17_Application_1220245028,post_2017,189.09684861111114,4,13,0,0,0,5000.0,0
c12_182960,pre_2012,329.2814783333333,4,22,0,1,0,11000,0
c12_194644,pre_2012,0.38166694444444443,4,24,0,1,0,30000,0
c12_196744,pre_2012,6.138888888888889e-05,2,3,1,0,0,10500,1
c17_Application_723417034,post_2017,212.3902408333333,4,12,0,0,0,7500.0,0
c17_Application_90627973,post_2017,45.41802138888889,4,12,1,1,1,10000.0,1
c17_Application_976343211,post_2017,93.51205,4,9,1,0,1,0.0,1
c17_Application_643134488,post_2017,1118.8449313888889,4,17,1,1,1,10000.0,1
c17_Application_29643939,post_2017,463.75094638888896,4,15,1,1,1,0.0,1
c17_Application_14272510,post_2017,168.50314277777778,4,18,1,1,1,20000.0,1
c17_Application_1894599728,post_2017,189.18543888888888,4,12,0,0,0,7000.0,0
c17_Application_2045572635,post_2017,310.84222305555556,4,12,0,0,0,25000.0,0
c12_185270,pre_2012,473.6162219444444,4,28,0,1,0,13000,0
c17_Application_968899175,post_2017,241.58112027777779,4,12,0,0,0,35000.0,0
c17_Application_2098242568,post_2017,74.934915,4,10,1,0,1,20000.0,1
c17_Application_437813767,post_2017,332.164435,4,12,0,0,0,32000.0,0
c17_Application_1599321616,post_2017,338.26658833333335,4,12,0,0,0,50000.0,0
c17_Application_473724297,post_2017,152.57250916666666,4,16,1,1,0,0.0,1
c12_195344,pre_2012,740.4634463888889,2,29,1,1,1,5000,1
c17_Application_1193591229,post_2017,2.7162641666666665,4,12,1,1,1,15000.0,1
c12_201484,pre_2012,559.6425666666667,4,53,1,1,1,6000,1
c17_Application_171367276,post_2017,869.0418352777777,4,23,1,1,1,56000.0,1
c12_200395,pre_2012,301.37268694444447,4,22,0,1,0,8000,0
c17_Application_1658575970,post_2017,317.82392111111113,4,12,0,0,0,0.0,0
c17_Application_943868855,post_2017,234.79235305555554,4,12,0,0,0,0.0,0
c17_Application_1695436993,post_2017,512.1981552777778,4,19,1,1,1,53000.0,1
c17_Application_1213104145,post_2017,304.31258694444443,4,12,0,0,0,8000.0,0
c17_Application_2052803907,post_2017,120.58484361111111,4,12,0,0,0,15000.0,0
c12_175263,pre_2012,345.4264297222222,4,31,1,1,1,15000,1
c17_Application_1138732156,post_2017,424.09087055555557,4,16,1,1,0,5000.0,1
c17_Application_853756243,post_2017,0.08825916666666665,4,9,1,0,0,0.0,1
c12_193414,pre_2012,6.580909722222223,2,6,1,1,0,3000,1
c12_194254,pre_2012,39.27208388888889,2,6,1,1,0,3500,1
c12_213330,pre_2012,359.9139386111111,3,24,0,1,0,5000,0
c12_181703,pre_2012,0.39689416666666666,2,6,1,1,0,5000,1
c17_Application_1048918140,post_2017,85.7207036111111,4,12,1,1,1,40000.0,1
c17_Application_1947668470,post_2017,331.2269369444445,4,12,0,0,0,20000.0,0
c17_Application_1798274138,post_2017,301.68021250000004,4,12,0,0,0,19750.0,0
c17_Application_1106177510,post_2017,219.60759972222223,4,12,0,0,0,5000.0,0
c17_Application_1258296762,post_2017,280.45614472222223,4,16,1,1,0,6000.0,1
c17_Application_1554386060,post_2017,184.44510416666668,4,12,0,0,0,0.0,0
c17_Application_1813335284,post_2017,191.0277925,4,12,0,0,0,20000.0,0
c17_Application_272407605,post_2017,281.74925666666667,4,12,0,0,0,5000.0,0
c17_Application_853767361,post_2017,0.15342111111111112,4,9,1,0,1,12400.0,1
c12_211095,pre_2012,615.6546091666667,4,26,0,1,1,12000,1
c17_Application_641443562,post_2017,1964.5966433333333,4,29,1,1,1,20000.0,1
c12_174686,pre_2012,335.95552555555554,4,28,0,1,0,7500,0
c17_Application_426803060,post_2017,102.40139972222222,4,12,0,0,0,15000.0,0
c17_Application_150041336,post_2017,2135.100538888889,4,30,1,1,1,12600.0,1
c12_187921,pre_2012,492.91164555555554,4,48,1,1,1,15000,1
c17_Application_1109943056,post_2017,304.7715994444444,4,12,0,0,0,20000.0,0
c17_Application_129006948,post_2017,332.3779288888889,4,12,0,0,0,9000.0,0
c17_Application_119020510,post_2017,193.28177722222222,4,12,0,0,0,5000.0,0
c17_Application_1064248036,post_2017,333.02826194444447,4,12,0,0,0,30000.0,0
c12_205559,pre_2012,2.6311999999999998,2,8,1,1,0,40000,1
c17_Application_350079960,post_2017,87.20521027777778,4,10,1,0,1,5000.0,1
c17_Application_772329068,post_2017,69.31855722222222,4,12,0,0,0,75000.0,0
c17_Application_454134221,post_2017,827.9415569444444,4,19,1,1,1,30000.0,1
c12_204278,pre_2012,282.33312527777775,4,24,1,1,1,25000,1
c17_Application_2096597980,post_2017,207.26754472222223,4,12,0,0,0,10000.0,0
c12_194350,pre_2012,7.361111111111111e-05,2,3,1,0,0,2500,1
c12_211005,pre_2012,6.138888888888889e-05,2,3,1,0,0,5000,1
c12_174144,pre_2012,429.7339191666666,4,28,0,1,0,21000,0
c17_Application_1322203709,post_2017,221.3366775,4,12,0,0,0,0.0,0
c12_203624,pre_2012,326.6130597222222,4,30,1,1,0,45000,1
c17_Application_1848296752,post_2017,0.8368861111111111,4,9,1,0,1,0.0,1
c12_191848,pre_2012,481.0465463888889,4,26,0,1,0,5000,0
c17_Application_609090423,post_2017,314.02531999999997,4,12,0,0,0,35000.0,0
c12_207089,pre_2012,429.5706652777778,4,31,1,1,0,8000,1
c17_Application_213211686,post_2017,190.64237916666667,4,12,0,0,0,6500.0,0
c17_Application_1596066079,post_2017,74.11038472222222,4,12,0,0,0,62500.0,0
c17_Application_1431000094,post_2017,22.763040000000004,4,9,1,0,0,25000.0,1
c17_Application_315644368,post_2017,144.7388686111111,4,12,0,0,0,5000.0,0
c17_Application_363059077,post_2017,527.9718275,4,12,1,0,1,7000.0,1
c17_Application_1069059697,post_2017,147.55143361111112,4,12,0,0,0,17500.0,0
c17_Application_1886872966,post_2017,169.78191222222222,4,12,0,0,0,15000.0,0
c12_188020,pre_2012,647.0626055555555,4,54,1,1,1,5000,1
c17_Application_339730120,post_2017,0.09875944444444444,4,9,1,0,0,35000.0,1
c17_Application_978016195,post_2017,118.369225,4,12,0,0,0,15000.0,0
c17_Application_1000604502,post_2017,65.26429999999999,4,9,1,0,1,10000.0,1
c12_184198,pre_2012,1.5419272222222222,2,6,1,1,0,5000,1
c17_Application_576248321,post_2017,795.1670088888889,4,18,1,1,1,30000.0,1
c17_Application_1890915392,post_2017,72.08549722222222,4,9,1,0,0,23000.0,1
c17_Application_1099078323,post_2017,135.81461472222222,4,10,1,0,1,5000.0,1
c17_Application_1430547150,post_2017,618.2442533333333,4,14,1,0,1,18000.0,1
c17_Application_1165073723,post_2017,234.76198694444443,4,12,0,0,0,0.0,0
c17_Application_679521950,post_2017,188.42425694444444,4,14,1,0,1,20000.0,1
c17_Application_376007155,post_2017,330.3872855555556,4,12,0,0,0,6000.0,0
c17_Application_1167146273,post_2017,330.7404452777778,4,12,0,0,0,0.0,0
c17_Application_1580682783,post_2017,4.665345833333334,4,9,1,0,0,15000.0,1
c17_Application_641457453,post_2017,868.1479883333334,4,15,1,1,1,50000.0,1
c17_Application_610209894,post_2017,286.9009819444445,4,12,0,0,0,20000.0,0
c17_Application_1061611516,post_2017,306.40690027777777,4,20,1,1,0,5000.0,1
c17_Application_1712296216,post_2017,267.4394805555556,4,12,0,0,0,7500.0,0
c17_Application_196951548,post_2017,212.32260055555557,4,12,0,0,0,0.0,0
c17_Application_598140254,post_2017,0.09199833333333332,4,9,1,0,0,0.0,1
c12_202914,pre_2012,4.638888888888889e-05,2,3,1,0,0,4900,1
c17_Application_487581969,post_2017,280.9631294444444,4,12,0,0,0,10000.0,0
c17_Application_1129813517,post_2017,523.7695227777779,4,13,0,0,1,5000.0,1
c17_Application_836009953,post_2017,174.52369305555555,4,12,0,0,0,7500.0,0
c12_196969,pre_2012,1674.6483066666667,4,38,1,1,1,6000,1
c17_Application_633655173,post_2017,48.246734999999994,4,10,1,0,0,8000.0,1
c17_Application_1476227188,post_2017,264.3418363888889,4,16,1,1,0,10000.0,1
c12_186691,pre_2012,12.048126666666667,2,6,1,1,0,5000,1
c17_Application_596285306,post_2017,196.00364000000002,4,12,0,0,0,7500.0,0
c17_Application_875834446,post_2017,146.79536305555555,4,16,1,1,0,5500.0,1
c12_180283,pre_2012,846.4325449999999,4,42,1,1,1,25000,1
c12_211946,pre_2012,309.3293077777778,4,35,0,1,0,15000,0
c17_Application_500409842,post_2017,340.25141694444443,4,12,0,0,0,50000.0,0
c17_Application_299160925,post_2017,376.8783711111111,4,22,1,1,0,15000.0,1
c17_Application_1447691962,post_2017,231.77447999999998,4,13,0,0,0,6000.0,0
c12_204850,pre_2012,651.40034,4,43,1,1,1,8000,1
c17_Application_208251490,post_2017,220.30607861111113,4,16,1,1,1,7500.0,1
c12_207227,pre_2012,7.444444444444444e-05,2,3,1,0,0,50000,1
c17_Application_1624617914,post_2017,568.1850505555556,4,17,1,1,1,0.0,1
c12_210095,pre_2012,220.21001027777777,1,10,0,1,0,6100,0
c17_Application_465906899,post_2017,287.7269888888889,4,12,0,0,0,5000.0,0
c12_181987,pre_2012,451.50930416666665,4,32,0,1,0,7000,0
c17_Application_420905252,post_2017,144.59665472222224,4,12,0,0,0,5000.0,0
c12_187786,pre_2012,739.1960380555556,2,38,1,1,1,60000,1
c12_213870,pre_2012,206.9504936111111,3,37,0,1,0,23000,0
c17_Application_1983434562,post_2017,182.1521561111111,4,12,0,0,0,15000.0,0
c17_Application_265942746,post_2017,268.2278066666667,4,12,0,0,0,6000.0,0
c17_Application_493034835,post_2017,239.83063305555555,4,12,0,0,0,9000.0,0
c17_Application_1534280400,post_2017,338.8564361111111,4,12,0,0,0,15000.0,0
c17_Application_1908229857,post_2017,289.05102222222223,4,9,1,0,1,5000.0,1
c12_187238,pre_2012,67.90326027777778,2,16,1,1,0,5500,1
c12_205867,pre_2012,430.7976413888889,4,24,0,1,0,8500,0
c17_Application_2052520067,post_2017,225.23714833333332,4,12,0,0,0,0.0,0
c17_Application_409322916,post_2017,24.576497500000002,4,9,1,0,0,10000.0,1
c17_Application_855823740,post_2017,690.0329069444444,4,12,0,0,1,10000.0,1
c17_Application_170555253,post_2017,170.12865166666668,4,12,0,0,0,26500.0,0
c12_191401,pre_2012,0.5092358333333333,2,7,1,1,0,10000,1
c12_204493,pre_2012,5.888888888888889e-05,2,3,1,0,0,31000,1
c17_Application_1205789692,post_2017,188.87940499999996,4,12,0,0,0,6000.0,0
c17_Application_1457603790,post_2017,167.86267861111114,4,12,0,0,0,28300.0,0
